system:index,CBI,def,dmirbi,dndvi,lat,post_mirbi,rbr,unique_id,.geo
00000000000000001db6,1.35,142.0,-127.0,99.0,30.0,3038.0,118.0,5070.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001db7,1.57,142.0,42.0,112.0,30.0,2959.0,131.0,5071.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001db8,1.75,142.0,78.0,116.0,30.0,2953.0,144.0,5072.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001db9,1.27,142.0,-97.0,61.0,30.0,2834.0,124.0,5073.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dcf,1.38,142.0,62.0,158.0,30.0,3072.0,185.0,5095.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dd0,1.02,142.0,102.0,134.0,30.0,3055.0,117.0,5096.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dd1,1.04,142.0,193.0,133.0,30.0,3039.0,62.0,5097.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dd2,1.15,142.0,93.0,119.0,30.0,3158.0,63.0,5098.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dd3,1.19,142.0,47.0,142.0,30.0,2958.0,144.0,5099.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dd4,0.77,142.0,155.0,39.0,30.0,2918.0,95.0,5100.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dd5,1.2,142.0,54.0,124.0,30.0,2909.0,143.0,5101.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dd6,1.22,142.0,113.0,101.0,30.0,2942.0,127.0,5102.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dd7,0.93,142.0,-64.0,130.0,30.0,3004.0,138.0,5103.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dd8,0.9,142.0,115.0,153.0,30.0,3041.0,123.0,5104.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001ddd,1.1,142.0,55.0,142.0,30.0,2770.0,120.0,5109.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001de9,1.06,142.0,44.0,133.0,30.0,2982.0,132.0,5121.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dea,0.77,142.0,38.0,104.0,30.0,3037.0,110.0,5122.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001deb,0.99,142.0,-8.0,127.0,30.0,2927.0,131.0,5123.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dec,1.03,142.0,99.0,83.0,30.0,2917.0,138.0,5124.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001ded,0.7,142.0,182.0,40.0,30.0,2926.0,96.0,5125.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dee,0.7,142.0,73.0,108.0,30.0,3013.0,109.0,5126.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001def,0.95,142.0,-104.0,66.0,30.0,2877.0,154.0,5127.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001df0,1.09,142.0,183.0,108.0,30.0,2861.0,106.0,5128.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001df1,1.02,142.0,111.0,84.0,30.0,2971.0,99.0,5129.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001df2,1.11,142.0,70.0,131.0,30.0,3013.0,139.0,5130.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001df3,0.82,142.0,118.0,111.0,30.0,3022.0,117.0,5131.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001df4,1.04,142.0,126.0,135.0,30.0,3042.0,116.0,5132.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001df5,1.27,142.0,82.0,141.0,30.0,3035.0,136.0,5133.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001e00,1.22,142.0,134.0,120.0,30.0,2723.0,113.0,5144.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d46,1.9,143.0,94.0,-123.0,30.0,2955.0,-69.0,4958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d47,0.87,143.0,140.0,-4.0,30.0,3033.0,27.0,4959.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d48,1.14,143.0,82.0,-74.0,30.0,2988.0,-15.0,4960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d4e,1.25,143.0,81.0,32.0,30.0,3049.0,93.0,4966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d4f,1.74,143.0,103.0,84.0,30.0,2998.0,119.0,4967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d50,0.9,143.0,23.0,-23.0,30.0,2996.0,32.0,4968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d51,0.9,143.0,91.0,-7.0,30.0,2938.0,31.0,4969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d52,0.91,143.0,119.0,14.0,30.0,3003.0,19.0,4970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d59,1.11,143.0,45.0,9.0,30.0,3025.0,42.0,4977.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d5a,1.2,143.0,132.0,5.0,30.0,2985.0,40.0,4978.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d5b,1.41,143.0,123.0,-46.0,30.0,2968.0,34.0,4979.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d5d,1.49,143.0,-39.0,-10.0,30.0,3062.0,83.0,4981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d65,0.78,143.0,67.0,-13.0,30.0,3047.0,20.0,4989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d66,1.14,143.0,53.0,-48.0,30.0,2968.0,39.0,4990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d67,0.77,143.0,62.0,12.0,30.0,3039.0,95.0,4991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d68,1.15,143.0,-22.0,-69.0,30.0,2923.0,14.0,4992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d69,1.2,143.0,31.0,0.0,30.0,3050.0,57.0,4993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
